anio	mes	estacion	ecoregion	nom_depto	grupo_edad	casos_lepto	poblacion
2014	7	Invierno	Pampa	SAN LORENZO	15-24	1	26598
2014	8	Invierno	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	8	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2014	8	Invierno	Pampa	SAN LORENZO	25-44	1	44755
2014	9	Invierno	Delta e Islas del Paraná	SAN JAVIER	25-44	1	7684
2014	9	Invierno	Espinal	CASTELLANOS	65+	1	20300
2014	10	Primavera	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2014	10	Primavera	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2014	10	Primavera	Pampa	IRIONDO	45-64	1	14535
2014	10	Primavera	Pampa	SAN LORENZO	10-14	1	12409
2014	11	Primavera	Chaco Húmedo	VERA	15-24	1	9127
2014	11	Primavera	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2014	11	Primavera	Delta e Islas del Paraná	LA CAPITAL	65+	1	54644
2014	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	10-14	1	44028
2014	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2015	1	Verano	Chaco Húmedo	VERA	15-24	1	9127
2015	1	Verano	Delta e Islas del Paraná	CONSTITUCION	0-9	1	13164
2015	1	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2015	1	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2015	1	Verano	Delta e Islas del Paraná	ROSARIO	15-24	2	203472
2015	1	Verano	Delta e Islas del Paraná	ROSARIO	25-44	4	347729
